,index,DATE ADDED TO CATALOG,PUBMEDID,FIRST AUTHOR,DATE,JOURNAL,LINK,STUDY,DISEASE/TRAIT,INITIAL SAMPLE SIZE,REPLICATION SAMPLE SIZE,REGION,CHR_ID,CHR_POS,REPORTED GENE(S),MAPPED_GENE,UPSTREAM_GENE_ID,DOWNSTREAM_GENE_ID,SNP_GENE_IDS,UPSTREAM_GENE_DISTANCE,DOWNSTREAM_GENE_DISTANCE,STRONGEST SNP-RISK ALLELE,SNPS,MERGED,SNP_ID_CURRENT,CONTEXT,INTERGENIC,RISK ALLELE FREQUENCY,P-VALUE,PVALUE_MLOG,P-VALUE (TEXT),OR or BETA,95% CI (TEXT),PLATFORM [SNPS PASSING QC],CNV
180,21087,2018-01-29,29212778,van der Harst P,2017-12-06,Circ Res,www.ncbi.nlm.nih.gov/pubmed/29212778,The Identification of 64 Novel Genetic Loci Provides an Expanded View on the Genetic Architecture of Coronary Artery Disease.,Coronary artery disease,"up to 122,733 cases, up to 424,528 controls",,12p12.2,12,20067099,LOC100506393,LOC100506393,,,100506393,,,rs10841443-C,rs10841443,0,10841443.0,intron_variant,0.0,0.3409,3e-14,13.522878745280336,,0.046,[0.034-0.058] unit decrease,Affymetrix [at least 7947838] (imputed),N
195,23873,2018-01-29,29212778,van der Harst P,2017-12-06,Circ Res,www.ncbi.nlm.nih.gov/pubmed/29212778,The Identification of 64 Novel Genetic Loci Provides an Expanded View on the Genetic Architecture of Coronary Artery Disease.,Coronary artery disease,"88,192 cases, 162,544 controls","34,541 cases, 261,984 controls",12p12.2,12,20067099,LOC100506393,LOC100506393,,,100506393,,,rs10841443-C,rs10841443,0,10841443.0,intron_variant,0.0,0.34,8e-14,13.096910013008056,,0.051,[0.038-0.064] unit decrease,NR [8041861] (imputed),N
194,23612,2018-01-29,29212778,van der Harst P,2017-12-06,Circ Res,www.ncbi.nlm.nih.gov/pubmed/29212778,The Identification of 64 Novel Genetic Loci Provides an Expanded View on the Genetic Architecture of Coronary Artery Disease.,Coronary artery disease,"34,541 cases, 261,984 controls","88,192 cases, 162,544 controls",12p12.2,12,20067099,LOC100506393,LOC100506393,,,100506393,,,rs10841443-C,rs10841443,0,10841443.0,intron_variant,0.0,0.34,8e-14,13.096910013008056,,0.051,[0.037-0.065] unit decrease,Affymetrix [7947838] (imputed),N
168,23617,2018-01-29,29212778,van der Harst P,2017-12-06,Circ Res,www.ncbi.nlm.nih.gov/pubmed/29212778,The Identification of 64 Novel Genetic Loci Provides an Expanded View on the Genetic Architecture of Coronary Artery Disease.,Coronary artery disease,"34,541 cases, 261,984 controls","88,192 cases, 162,544 controls",4q21.21,4,80259918,FGF5,PRDM8 - FGF5,56978.0,2250.0,,55589.0,6670.0,rs10857147-A,rs10857147,0,10857147.0,intergenic_variant,1.0,0.722,1e-14,14.0,,0.055,[0.041-0.069] unit decrease,Affymetrix [7947838] (imputed),N
171,21036,2018-01-29,29212778,van der Harst P,2017-12-06,Circ Res,www.ncbi.nlm.nih.gov/pubmed/29212778,The Identification of 64 Novel Genetic Loci Provides an Expanded View on the Genetic Architecture of Coronary Artery Disease.,Coronary artery disease,"up to 122,733 cases, up to 424,528 controls",,4q21.21,4,80259918,FGF5,PRDM8 - FGF5,56978.0,2250.0,,55589.0,6670.0,rs10857147-A,rs10857147,0,10857147.0,intergenic_variant,1.0,0.7208,1e-14,14.0,,0.0491,[0.037-0.062] unit decrease,Affymetrix [at least 7947838] (imputed),N
174,23755,2018-01-29,29212778,van der Harst P,2017-12-06,Circ Res,www.ncbi.nlm.nih.gov/pubmed/29212778,The Identification of 64 Novel Genetic Loci Provides an Expanded View on the Genetic Architecture of Coronary Artery Disease.,Coronary artery disease,"88,192 cases, 162,544 controls","34,541 cases, 261,984 controls",4q21.21,4,80259918,FGF5,PRDM8 - FGF5,56978.0,2250.0,,55589.0,6670.0,rs10857147-A,rs10857147,0,10857147.0,intergenic_variant,1.0,0.7222,1e-14,14.0,,0.0553,[0.041-0.069] unit decrease,NR [8041861] (imputed),N
534,23786,2018-01-29,29212778,van der Harst P,2017-12-06,Circ Res,www.ncbi.nlm.nih.gov/pubmed/29212778,The Identification of 64 Novel Genetic Loci Provides an Expanded View on the Genetic Architecture of Coronary Artery Disease.,Coronary artery disease,"88,192 cases, 162,544 controls","34,541 cases, 261,984 controls",6p21.2,6,39207146,KCNK5,KCNK5,,,8645,,,rs10947789-T,rs10947789,0,10947789.0,intron_variant,0.0,0.7666,3e-08,7.522878745280337,,0.0413,[0.027-0.056] unit increase,NR [8041861] (imputed),N
259,21083,2018-01-29,29212778,van der Harst P,2017-12-06,Circ Res,www.ncbi.nlm.nih.gov/pubmed/29212778,The Identification of 64 Novel Genetic Loci Provides an Expanded View on the Genetic Architecture of Coronary Artery Disease.,Coronary artery disease,"up to 122,733 cases, up to 424,528 controls",,6p21.2,6,39207146,KCNK5,KCNK5,,,8645,,,rs10947789-T,rs10947789,0,10947789.0,intron_variant,0.0,0.7671,8e-12,11.096910013008056,,0.0413,[0.03-0.053] unit increase,Affymetrix [at least 7947838] (imputed),N
244,23785,2018-01-29,29212778,van der Harst P,2017-12-06,Circ Res,www.ncbi.nlm.nih.gov/pubmed/29212778,The Identification of 64 Novel Genetic Loci Provides an Expanded View on the Genetic Architecture of Coronary Artery Disease.,Coronary artery disease,"88,192 cases, 162,544 controls","34,541 cases, 261,984 controls",6p21.2,6,39207146,KCNK5,KCNK5,,,8645,,,rs10947789-T,rs10947789,0,10947789.0,intron_variant,0.0,0.7666,2.9999999999999997e-12,11.522878745280336,,0.0462,[0.033-0.059] unit increase,NR [8041861] (imputed),N
106,21076,2018-01-29,29212778,van der Harst P,2017-12-06,Circ Res,www.ncbi.nlm.nih.gov/pubmed/29212778,The Identification of 64 Novel Genetic Loci Provides an Expanded View on the Genetic Architecture of Coronary Artery Disease.,Coronary artery disease,"up to 122,733 cases, up to 424,528 controls",,12q24.31,12,124822507,SCARB1,SCARB1,,,949,,,rs11057830-A,rs11057830,0,11057830.0,intron_variant,0.0,0.1465,2e-18,17.69897000433602,,0.0655,[0.051-0.08] unit increase,Affymetrix [at least 7947838] (imputed),N
93,23884,2018-01-29,29212778,van der Harst P,2017-12-06,Circ Res,www.ncbi.nlm.nih.gov/pubmed/29212778,The Identification of 64 Novel Genetic Loci Provides an Expanded View on the Genetic Architecture of Coronary Artery Disease.,Coronary artery disease,"88,192 cases, 162,544 controls","34,541 cases, 261,984 controls",12q24.31,12,124822507,SCARB1,SCARB1,,,949,,,rs11057830-A,rs11057830,0,11057830.0,intron_variant,0.0,0.1474,2.9999999999999997e-20,19.522878745280334,,0.0821,[0.065-0.1] unit increase,NR [8041861] (imputed),N
370,23567,2018-01-29,29212778,van der Harst P,2017-12-06,Circ Res,www.ncbi.nlm.nih.gov/pubmed/29212778,The Identification of 64 Novel Genetic Loci Provides an Expanded View on the Genetic Architecture of Coronary Artery Disease.,Coronary artery disease,"34,541 cases, 261,984 controls","88,192 cases, 162,544 controls",4q21.22,4,81665896,intergenic,LOC105377306 - LOC107986215,105377306.0,107986215.0,,163754.0,42951.0,rs11099493-A,rs11099493,0,11099493.0,intron_variant,1.0,0.694,5e-10,9.30102999566398,,0.043,[0.029-0.057] unit increase,Affymetrix [7947838] (imputed),N
341,21004,2018-01-29,29212778,van der Harst P,2017-12-06,Circ Res,www.ncbi.nlm.nih.gov/pubmed/29212778,The Identification of 64 Novel Genetic Loci Provides an Expanded View on the Genetic Architecture of Coronary Artery Disease.,Coronary artery disease,"up to 122,733 cases, up to 424,528 controls",,4q21.22,4,81665896,intergenic,LOC105377306 - LOC107986215,105377306.0,107986215.0,,163754.0,42951.0,rs11099493-A,rs11099493,0,11099493.0,intron_variant,1.0,0.6924,2e-10,9.69897000433602,,0.039,[0.027-0.051] unit increase,Affymetrix [at least 7947838] (imputed),N
366,23756,2018-01-29,29212778,van der Harst P,2017-12-06,Circ Res,www.ncbi.nlm.nih.gov/pubmed/29212778,The Identification of 64 Novel Genetic Loci Provides an Expanded View on the Genetic Architecture of Coronary Artery Disease.,Coronary artery disease,"88,192 cases, 162,544 controls","34,541 cases, 261,984 controls",4q21.22,4,81665896,intergenic,LOC105377306 - LOC107986215,105377306.0,107986215.0,,163754.0,42951.0,rs11099493-A,rs11099493,0,11099493.0,intron_variant,1.0,0.6944,5e-10,9.30102999566398,,0.0431,[0.03-0.057] unit increase,NR [8041861] (imputed),N
197,23876,2018-01-29,29212778,van der Harst P,2017-12-06,Circ Res,www.ncbi.nlm.nih.gov/pubmed/29212778,The Identification of 64 Novel Genetic Loci Provides an Expanded View on the Genetic Architecture of Coronary Artery Disease.,Coronary artery disease,"88,192 cases, 162,544 controls","34,541 cases, 261,984 controls",12q13.13,12,54120131,"FLJ12825, LOC400043",FLJ12825,,,440101,,,rs11170820-C,rs11170820,0,11170820.0,non_coding_transcript_exon_variant,0.0,0.9285,1e-13,13.0,,0.0969,[0.071-0.122] unit decrease,NR [8041861] (imputed),N
200,23608,2018-01-29,29212778,van der Harst P,2017-12-06,Circ Res,www.ncbi.nlm.nih.gov/pubmed/29212778,The Identification of 64 Novel Genetic Loci Provides an Expanded View on the Genetic Architecture of Coronary Artery Disease.,Coronary artery disease,"34,541 cases, 261,984 controls","88,192 cases, 162,544 controls",12q13.13,12,54120131,"FLJ12825, LOC400043",FLJ12825,,,440101,,,rs11170820-C,rs11170820,0,11170820.0,non_coding_transcript_exon_variant,0.0,0.929,1e-13,13.0,,0.09699999999999999,[0.072-0.122] unit decrease,Affymetrix [7947838] (imputed),N
223,21034,2018-01-29,29212778,van der Harst P,2017-12-06,Circ Res,www.ncbi.nlm.nih.gov/pubmed/29212778,The Identification of 64 Novel Genetic Loci Provides an Expanded View on the Genetic Architecture of Coronary Artery Disease.,Coronary artery disease,"up to 122,733 cases, up to 424,528 controls",,12q13.13,12,54120131,"FLJ12825, LOC400043",FLJ12825,,,440101,,,rs11170820-C,rs11170820,0,11170820.0,non_coding_transcript_exon_variant,0.0,0.9292,9.000000000000001e-13,12.045757490560675,,0.0832,[0.06-0.106] unit decrease,Affymetrix [at least 7947838] (imputed),N
818,23878,2018-01-29,29212778,van der Harst P,2017-12-06,Circ Res,www.ncbi.nlm.nih.gov/pubmed/29212778,The Identification of 64 Novel Genetic Loci Provides an Expanded View on the Genetic Architecture of Coronary Artery Disease.,Coronary artery disease,"88,192 cases, 162,544 controls","34,541 cases, 261,984 controls",12q13.3,12,57133500,LRP1,LRP1,,,4035,,,rs11172113-T,rs11172113,0,11172113.0,intron_variant,0.0,0.5905,5e-06,5.301029995663981,,0.0257,[0.015-0.037] unit decrease,NR [8041861] (imputed),N
574,23877,2018-01-29,29212778,van der Harst P,2017-12-06,Circ Res,www.ncbi.nlm.nih.gov/pubmed/29212778,The Identification of 64 Novel Genetic Loci Provides an Expanded View on the Genetic Architecture of Coronary Artery Disease.,Coronary artery disease,"88,192 cases, 162,544 controls","34,541 cases, 261,984 controls",12q13.3,12,57133500,LRP1,LRP1,,,4035,,,rs11172113-T,rs11172113,0,11172113.0,intron_variant,0.0,0.5919,6e-08,7.221848749616356,,0.0349,[0.022-0.047] unit decrease,NR [8041861] (imputed),N
590,4096,2011-04-11,21378990,Schunkert H,2011-03-06,Nat Genet,www.ncbi.nlm.nih.gov/pubmed/21378990,Large-scale association analysis identifies 13 new susceptibility loci for coronary artery disease.,Coronary heart disease,"22,233 European ancestry cases, 64,762 European ancestry controls","56,682 European ancestry cases and controls",1p32.3,1,55030366,PCSK9,BSND - PCSK9,7809.0,255738.0,,21574.0,9110.0,rs11206510-T,rs11206510,0,11206510,intergenic_variant,1.0,0.82,9e-08,7.045757490560675,,1.08,[1.05-1.11],"Affymetrix, Illumina [~ 2300000] (imputed)",N
516,32249,2016-09-12,26343387,Nikpay M,2015-09-07,Nat Genet,www.ncbi.nlm.nih.gov/pubmed/26343387,A comprehensive 1000 Genomes-based genome-wide association meta-analysis of coronary artery disease.,Coronary artery disease,"42,096 European ancestry cases, 361 African American cases, 758 Hispanic American cases, 12,658 South Asian ancestry cases, 1,802 Lebanese ancestry cases, 3,614 East Asian ancestry cases, 99,121 European ancestry controls, 2,778 African American controls, 3,337 Hispanic American controls, 12,899 South Asian ancestry controls, 466 Lebanese ancestry controls, 7,709 East Asian ancestry controls",,1p32.3,1,55030366,PCSK9,BSND - PCSK9,7809.0,255738.0,,21574.0,9110.0,rs11206510-T,rs11206510,0,11206510.0,intergenic_variant,1.0,0.847627,2e-08,7.698970004336019,,1.08,[1.05- 1.11],"Affymetrix, Illumina [8600000] (imputed)",N
295,44126,2014-07-23,24262325,Dichgans M,2013-11-21,Stroke,www.ncbi.nlm.nih.gov/pubmed/24262325,Shared genetic susceptibility to ischemic stroke and coronary artery disease: a genome-wide analysis of common variants.,Coronary artery disease,"33,398 cases, 75,726 controls",,19p13.2,19,11052925,"LDLR, SMARCA4",SMARCA4,,,6597,,,rs1122608-?,rs1122608,0,1122608.0,intron_variant,0.0,NR,3e-11,10.522878745280336,,1.1364,[1.09-1.18],Illumina [575000] (imputed),N
401,4308,2011-04-11,21378990,Schunkert H,2011-03-06,Nat Genet,www.ncbi.nlm.nih.gov/pubmed/21378990,Large-scale association analysis identifies 13 new susceptibility loci for coronary artery disease.,Coronary heart disease,"22,233 European ancestry cases, 64,762 European ancestry controls","56,682 European ancestry cases and controls",19p13.2,19,11052925,LDLR,SMARCA4,,,6597,,,rs1122608-G,rs1122608,0,1122608,intron_variant,0.0,0.77,1e-09,9.0,,1.14,[1.09-1.18],"Affymetrix, Illumina [~ 2300000] (imputed)",N
368,23549,2018-01-29,29212778,van der Harst P,2017-12-06,Circ Res,www.ncbi.nlm.nih.gov/pubmed/29212778,The Identification of 64 Novel Genetic Loci Provides an Expanded View on the Genetic Architecture of Coronary Artery Disease.,Coronary artery disease,"34,541 cases, 261,984 controls","88,192 cases, 162,544 controls",14q32.13,14,94371805,"SERPINA1, SERPINA2",SERPINA2 - SERPINA1,390502.0,5265.0,,5103.0,4942.0,rs112635299-T,rs112635299,0,112635299.0,intron_variant,1.0,0.019,5e-10,9.30102999566398,,0.165,[0.11-0.22] unit decrease,Affymetrix [7947838] (imputed),N
386,23966,2018-01-29,29212778,van der Harst P,2017-12-06,Circ Res,www.ncbi.nlm.nih.gov/pubmed/29212778,The Identification of 64 Novel Genetic Loci Provides an Expanded View on the Genetic Architecture of Coronary Artery Disease.,Coronary artery disease,"up to 122,733 cases, up to 424,528 controls",,14q32.13,14,94371805,"SERPINA1, SERPINA2",SERPINA2 - SERPINA1,390502.0,5265.0,,5103.0,4942.0,rs112635299-T,rs112635299,0,112635299.0,intron_variant,1.0,0.0193,8e-10,9.096910013008056,,0.1363,[0.093-0.18] unit decrease,Affymetrix [at least 7947838] (imputed),N
540,23806,2018-01-29,29212778,van der Harst P,2017-12-06,Circ Res,www.ncbi.nlm.nih.gov/pubmed/29212778,The Identification of 64 Novel Genetic Loci Provides an Expanded View on the Genetic Architecture of Coronary Artery Disease.,Coronary artery disease,"88,192 cases, 162,544 controls","34,541 cases, 261,984 controls",7p21.3,7,12222285,TMEM106B,TMEM106B,,,54664,,,rs11509880-A,rs11509880,0,11509880.0,intron_variant,0.0,0.3646,3e-08,7.522878745280337,,0.0367,[0.024-0.05] unit increase,NR [8041861] (imputed),N
535,23991,2018-01-29,29212778,van der Harst P,2017-12-06,Circ Res,www.ncbi.nlm.nih.gov/pubmed/29212778,The Identification of 64 Novel Genetic Loci Provides an Expanded View on the Genetic Architecture of Coronary Artery Disease.,Coronary artery disease,"up to 122,733 cases, up to 424,528 controls",,7p21.3,7,12222285,TMEM106B,TMEM106B,,,54664,,,rs11509880-A,rs11509880,0,11509880.0,intron_variant,0.0,0.3612,3e-08,7.522878745280337,,0.0327,[0.021-0.044] unit increase,Affymetrix [at least 7947838] (imputed),N
76,21088,2018-01-29,29212778,van der Harst P,2017-12-06,Circ Res,www.ncbi.nlm.nih.gov/pubmed/29212778,The Identification of 64 Novel Genetic Loci Provides an Expanded View on the Genetic Architecture of Coronary Artery Disease.,Coronary artery disease,"up to 122,733 cases, up to 424,528 controls",,7q32.2,7,130023656,ZC3HC1,ZC3HC1,,,51530,,,rs11556924-T,rs11556924,0,11556924.0,missense_variant,0.0,0.3624,1e-23,23.0,,0.0548,[0.044-0.066] unit decrease,Affymetrix [at least 7947838] (imputed),N
108,23813,2018-01-29,29212778,van der Harst P,2017-12-06,Circ Res,www.ncbi.nlm.nih.gov/pubmed/29212778,The Identification of 64 Novel Genetic Loci Provides an Expanded View on the Genetic Architecture of Coronary Artery Disease.,Coronary artery disease,"88,192 cases, 162,544 controls","34,541 cases, 261,984 controls",7q32.2,7,130023656,ZC3HC1,ZC3HC1,,,51530,,,rs11556924-T,rs11556924,0,11556924.0,missense_variant,0.0,0.3761,2e-18,17.69897000433602,,0.0575,[0.045-0.07] unit decrease,NR [8041861] (imputed),N
302,32233,2016-09-12,26343387,Nikpay M,2015-09-07,Nat Genet,www.ncbi.nlm.nih.gov/pubmed/26343387,A comprehensive 1000 Genomes-based genome-wide association meta-analysis of coronary artery disease.,Coronary artery disease,"42,096 European ancestry cases, 361 African American cases, 758 Hispanic American cases, 12,658 South Asian ancestry cases, 1,802 Lebanese ancestry cases, 3,614 East Asian ancestry cases, 99,121 European ancestry controls, 2,778 African American controls, 3,337 Hispanic American controls, 12,899 South Asian ancestry controls, 466 Lebanese ancestry controls, 7,709 East Asian ancestry controls",,7q32.2,7,130023656,ZC3HC1,ZC3HC1,,,51530,,,rs11556924-C,rs11556924,0,11556924.0,missense_variant,0.0,0.686675,5e-11,10.30102999566398,,1.08,[1.05- 1.10],"Affymetrix, Illumina [8600000] (imputed)",N
65,23812,2018-01-29,29212778,van der Harst P,2017-12-06,Circ Res,www.ncbi.nlm.nih.gov/pubmed/29212778,The Identification of 64 Novel Genetic Loci Provides an Expanded View on the Genetic Architecture of Coronary Artery Disease.,Coronary artery disease,"88,192 cases, 162,544 controls","34,541 cases, 261,984 controls",7q32.2,7,130023656,ZC3HC1,ZC3HC1,,,51530,,,rs11556924-T,rs11556924,0,11556924.0,missense_variant,0.0,0.36,1.0000000000000001e-24,24.0,,0.0618,[0.05-0.074] unit decrease,NR [8041861] (imputed),N
110,4101,2011-04-11,21378990,Schunkert H,2011-03-06,Nat Genet,www.ncbi.nlm.nih.gov/pubmed/21378990,Large-scale association analysis identifies 13 new susceptibility loci for coronary artery disease.,Coronary heart disease,"22,233 European ancestry cases, 64,762 European ancestry controls","56,682 European ancestry cases and controls",7q32.2,7,130023656,ZC3HC1,ZC3HC1,,,51530,,,rs11556924-C,rs11556924,0,11556924,missense_variant,0.0,0.62,9e-18,17.045757490560675,,1.09,[1.07-1.12],"Affymetrix, Illumina [~ 2300000] (imputed)",N
64,23661,2018-01-29,29212778,van der Harst P,2017-12-06,Circ Res,www.ncbi.nlm.nih.gov/pubmed/29212778,The Identification of 64 Novel Genetic Loci Provides an Expanded View on the Genetic Architecture of Coronary Artery Disease.,Coronary artery disease,"34,541 cases, 261,984 controls","88,192 cases, 162,544 controls",7q32.2,7,130023656,ZC3HC1,ZC3HC1,,,51530,,,rs11556924-T,rs11556924,0,11556924.0,missense_variant,0.0,0.36,1.0000000000000001e-24,24.0,,0.062,[0.05-0.074] unit decrease,Affymetrix [7947838] (imputed),N
355,44128,2014-07-23,24262325,Dichgans M,2013-11-21,Stroke,www.ncbi.nlm.nih.gov/pubmed/24262325,Shared genetic susceptibility to ischemic stroke and coronary artery disease: a genome-wide analysis of common variants.,Coronary artery disease,"33,398 cases, 75,726 controls",,7q32.2,7,130023656,ZC3HC1,ZC3HC1,,,51530,,,rs11556924-?,rs11556924,0,11556924.0,missense_variant,0.0,NR,3e-10,9.522878745280336,,1.0989,[1.06-1.12],Illumina [575000] (imputed),N
60,23700,2018-01-29,29212778,van der Harst P,2017-12-06,Circ Res,www.ncbi.nlm.nih.gov/pubmed/29212778,The Identification of 64 Novel Genetic Loci Provides an Expanded View on the Genetic Architecture of Coronary Artery Disease.,Coronary artery disease,"88,192 cases, 162,544 controls","34,541 cases, 261,984 controls",1p32.3,1,55039974,PCSK9,PCSK9,,,255738,,,rs11591147-T,rs11591147,0,11591147.0,missense_variant,0.0,0.0163,2e-25,24.69897000433602,,0.2821,[0.23-0.34] unit decrease,NR [8041861] (imputed),N
86,21009,2018-01-29,29212778,van der Harst P,2017-12-06,Circ Res,www.ncbi.nlm.nih.gov/pubmed/29212778,The Identification of 64 Novel Genetic Loci Provides an Expanded View on the Genetic Architecture of Coronary Artery Disease.,Coronary artery disease,"up to 122,733 cases, up to 424,528 controls",,1p32.3,1,55039974,PCSK9,PCSK9,,,255738,,,rs11591147-T,rs11591147,0,11591147.0,missense_variant,0.0,0.0164,1.9999999999999999e-22,21.69897000433602,,0.2406,[0.19-0.29] unit decrease,Affymetrix [at least 7947838] (imputed),N
